cluster_id,event_label,summary
0,amazon | new | rei, 7 starbucks stores have voted to unionize in a matter of months . 3 more starbucks workers in seattle vote to form union . 2 more in new york city are the only corporate starbucks store with a union .
1,cathedral | dame | flames, The centuries old structure is finally stable and secure enough for artisans to start rebuilding it . Investigators said the fire that gutted the paris cathedral may have been started by a malfunctioning electrical system or smoldering cigarette .
2,bryant | crash | fog, kobe bryant crash photos lawsuit to be heard by la jury . widow testified that she  lives in fear every day  that the photos of her husband s death will pop up on social media .
3,boris | brexit | british, boris johnson offers wholehearted apology for attending illegal party during lockdown . johnson  spent three nights in intensive care after contracting coronavirus . The british PM  plans to head back to work on monday .
4,coup | leader | maduro, sudan military leaders reinstate prime minister who was deposed in coup . Pro democracy group that has mobilized dozens of protests against the coup dismissed the military s deal with abdalla hamdok as  a form of betrayal .
5,crisis | lawsuit | maker, Federal jury holds pharmacies responsible for role in opioid crisis . Federal jury says cvs  walgreens and walmart pharmacies didn't do enough to stop the flow of opioid pills into two ohio counties . There are more than 2 000 lawsuits alleging the company helped fuel the deadly u s 
6,calrissian | donald | glover, Mark hamill mockingly reveals how to tell if trump merchandise is  offical  or not . last year s  the rise of skywalker was his final appearance in the saga . billy dee williams reportedly will reprise iconic role .
7,actors | aniston | cast, Jennifer aniston and lisa kudrow share behind the scenes photos from  friends  reunion .
8,assault | claims | cosby, The 84 year old actor and comedian has been free since june  when a pennsylvania appeals court overturned his conviction and released him from prison after nearly three years . The crown prosecution service did not reveal the name of the woman accusing weinstein of assault .
9,britney | conservatorship | court, britney spears says she hopes her story will effect change in a corrupt system . Pop star says she was forced to speak to longtime abc journalist against her will at the time .
10,anita | california | death, Golden birthday was the 39th horse to die at the embattled california park in a little more than a year . Another horse dies at santa anita park ahead of its opening weekend . The track is scheduled to host prestigious breeders  cup world championships .
11,beijing | biles | gold, mikaela shiffrin will leave the beijing winter olympics without a medal . skier will enter six alpine events at the 2022 winter games . erin jackson becomes first black woman to win a speedskating medal at the games .
12,bay | bowl | brady, tom brady will join fox sports as football analyst when he retires . the tampa bay buccaneers quarterback got his first unsportsmanlike penalty and a bloody lip after bragging that refs let him  talk smack . the patriots coach lost to his old quarterback and tried to
13,cheating | face | kardashian,kuwtk  producer reveals kendall jenner s relationship disclosure  rule . The model had her own guideline to determine whether she d let romantic partners appear on the series alongside her family .
14,djokovic | french | grand, Rafael nadal secured his 22nd grand slam title on sunday at roland garros . no man has won more grand slam titles than nadal . rafael nadal now has one more major title than roger federer and novak djokovic .
15,boys | cave | coach, Nine of the 12 boys and their coach appeared sunday to mark one year since the wild boars soccer club got trapped inside the tham luang cave . The boys are looking forward to eating some of their favorite thai dishes .
16,baby | chrissy | john, The model was set to guest star on the second season of the netflix show about an indian american teenager . chrissy teigen stepped down in the wake of an online bullying controversy .
17,health | kids | know,states launch probe into tiktok s effect on kids  health. state attorneys general have launched a nationwide investigation into tktok and its possible harmful effects on young users .
18,chauvin | death | derek, Federal trial of three former minneapolis police officers charged with violating george floyd s civil rights is headed to closing arguments . The federal government brought the civil rights charges against all four officers in may 2021 .
19,beauty | black | care, Get up to 30  off on makeup  hair care and skin care from sephora s long awaited members only holiday savings event .
20,chefs | cooking | easy, Want to cook more at home this year  here s how to keep your resolution . 10 cookbooks that ll take the stress out of cooking thanksgiving dinner .
21,buffalo | far | germany, Footage shows officers making racist remarks and celebrating as they shoot rubber bullets at protesters buffalo police release new bodycam footage of police pushing older protester .
22,allegedly | charges | deal," ghislaine maxwell, 59, denies charges she groomed underage girls for jeffrey epstein, who killed himself in jail in 2019 . A new report details how the deceased money manager controlled the minors he is accused of trafficking for sex ."
23,aug | funniest | july, The funniest tweets from parents this week  sept  17 23. accidentally put grown up toothpaste on my toddler s toothbrush and he screamed like i was cleaning his teeth with a carolina reaper dipped in tabasco sauce .
24,cat | cats | dec, 23 of the funniest tweets about cats and dogs this week . i keep hearing this ad for fresh cat food that says  your cute kitty is descended from fierce desert cats . i look at my cat and say  this cat is this cat .
25,embarrassing | funniest | oct, The 20 funniest tweets from women this week  may 28 june 3. sorry i was weird last night  it was to move the plot forward . i ve been described as  introverted  by dozens of men i didn t want to talk to the 20 .
26,abuse | allegations | chicago, Prosecutors rested their case against the singer  who stands accused of producing child sexual abuse videos in his latest trial jury selection in r  kelly federal trial to begin in chicago . The singer faces charges that he rigged his 2008 state child pornography trial in return to fox news .
27,big | climate | elizabeth, elizabeth warren doesn't believe the gop is really breaking up with big business . She plans to continue pressing the president to do more on child care and other issues .
28,aung | coup | kyi, myanmar court sentences ousted leader aung san suu kyi to 4 years . The sentencing was the first in a series of cases in which the 76 year old nobel laureate is being prosecuted since the army seized power on feb  1 .
29,benjamin | biden | cease, president joe biden asked israeli prime minister benjamin netanyahu to move toward  the path to a cease fire . progressive democrats are demanding a more forceful stance as israel forces killed over 200 palestinians as biden stays mum .
30,afghanistan | attack | claimed, taliban say they won't work with u s  on shared islamic state threat . taliban suspect the roadside bomb came from the islamics state . The attack was the deadliest attack in the afghan capital since the u s withdrew forces .
31,airstrikes | forces | gaza, israel forces shot a 13 year old boy in the head  palestinian gunfire also critically wounded an israeli police officer . The incident marks the single deadliest single attack since heavy fighting broke out nearly a week ago .
32,duke | edinburgh | edward, Prince philip to be remembered as man of courage  fortitude and faith at funeral . The 99 year old duke of edinburgh took part in designing the modified land rover that will carry his coffin .
33,attacks | bombings | church, congregants were leaving a catholic church in burkina faso on sunday when a group of men fatally shot six of them . The death toll from easter sunday s attacks has risen to 321 .
34,bahamas | coast | dangerous, Tropical storm danielle is the first hurricane of an unusually quiet storm season . The storm is centered about 885 miles west of the azores . Hurricane dorian is expected to make landfall sunday afternoon .
35,best | movies | netflix, The most popular movies on netflix right now besides  girl in the picture . a new polish crime drama and spacex documentary are also trending on the streaming service .
36,cia | confirmation | democrats, gina haspel on track to be confirmed as cia director with aid of democrats . democrats had the power to block her nomination but they couldn't stick together senate intelligence committee backs haspel to lead the cia .
37,aluminum | american | billion, trade war escalates with china announcing tariff hikes on 75 billion of u s products . conflict over trade and technology is threatening to tip a weakening global economy into recession .
38,awards | best | biggest, 2022 mtv vmas red carpet  all the wildest looks you need to see. celebrities showed up and showed out at the awards sunday night in new jersey bet awards .
